textboxFirstName,testboxLastName,emailinputLoginEmail,passwordboxLoginPassword
Alice,Angular,alice@localhost,password
Bob,Bourne-Shell,bob@localhost,password
Cariad,Clojure,cariad@localhost,password
Eve,Eiffel,eve@localhost,password
Frank,Fortran,frank@localhost,password
Gary,Groovy,gary@localhost,password
Howard,Haskell,howard@localhost,password
Isabelle,Idl,isabelle@localhost,password
Jennifer,Java,jennifer@localhost,password
Jess,Java,jess@localhost,password
Kendra,Kotlin,kendra@localhost,password
Lewis,LaTeX,lewis@localhost,password
